EmployeeID,FirstName,LastName,Email,Department,JobTitle,Location,Latitude,Longitude,RiskScore,DeviceCompliant,MFARegistered,AccountStatus,HIBPExposed,HIBPBreachCount,HireDate,CreatedDate
MZ0001,Kudzai,Chikwanda,kudzai.chikwanda1@micrlabs.onmicrosoft.com,Clinical,Doctor,Harare,-17.8652,31.0124,7,True,True,Active,False,0,2022-07-26,2026-03-28T17:51:09.844643
MZ0002,Tinashe,Phiri,tinashe.phiri2@micrlabs.onmicrosoft.com,Clinical,Doctor,Bulawayo,-20.1264,28.648,18,True,True,Active,False,0,2022-03-21,2026-03-28T17:51:09.844711
MZ0003,Kudzai,Zimba,kudzai.zimba3@micrlabs.onmicrosoft.com,Clinical,Doctor,Harare,-17.8637,31.0979,15,True,True,Active,False,0,2024-11-10,2026-03-28T17:51:09.844758
MZ0004,Thandi,Nkomo,thandi.nkomo4@micrlabs.onmicrosoft.com,Clinical,Lab Technician,Harare,-17.8333,31.0147,17,True,True,Active,False,0,2025-07-14,2026-03-28T17:51:09.844799
MZ0005,Kudzai,Ncube,kudzai.ncube5@micrlabs.onmicrosoft.com,Clinical,Lab Technician,Harare,-17.8564,31.0311,7,False,False,Active,False,0,2022-12-11,2026-03-28T17:51:09.844841
MZ0006,Nompilo,Chirwa,nompilo.chirwa6@micrlabs.onmicrosoft.com,Clinical,Radiologist,Gweru,-19.4837,29.8022,13,False,True,Active,False,0,2023-07-24,2026-03-28T17:51:09.844877
MZ0007,Simba,Tembo,simba.tembo7@micrlabs.onmicrosoft.com,Clinical,Doctor,Harare,-17.833,31.0292,12,True,True,Active,False,0,2025-10-19,2026-03-28T17:51:09.844911
MZ0008,Tatenda,Nkomo,tatenda.nkomo8@micrlabs.onmicrosoft.com,Clinical,Doctor,Harare,-17.8524,31.0233,15,True,True,Active,False,0,2025-10-25,2026-03-28T17:51:09.844944
MZ0009,Rudo,Dube,rudo.dube9@micrlabs.onmicrosoft.com,Clinical,Radiologist,Harare,-17.8231,31.0285,18,False,True,Active,False,0,2025-11-28,2026-03-28T17:51:09.844975
MZ0010,Simba,Banda,simba.banda10@micrlabs.onmicrosoft.com,Clinical,Nurse,Harare,-17.8745,31.0132,10,False,True,Active,False,0,2023-01-12,2026-03-28T17:51:09.845007
MZ0011,Sifiso,Sithole,sifiso.sithole11@micrlabs.onmicrosoft.com,Clinical,Doctor,Masvingo,-20.0715,30.8799,5,True,True,Active,False,0,2024-07-25,2026-03-28T17:51:09.845038
MZ0012,Sibusiso,Chikwanda,sibusiso.chikwanda12@micrlabs.onmicrosoft.com,Clinical,Lab Technician,Harare,-17.8338,31.0976,13,False,True,Active,False,0,2024-09-02,2026-03-28T17:51:09.845071
MZ0013,Zanele,Sithole,zanele.sithole13@micrlabs.onmicrosoft.com,Clinical,Doctor,Harare,-17.8418,31.0184,5,True,True,Active,False,0,2024-01-23,2026-03-28T17:51:09.845103
MZ0014,Thandi,Mpofu,thandi.mpofu14@micrlabs.onmicrosoft.com,Clinical,Doctor,Harare,-17.7914,31.0969,7,False,True,Active,False,0,2021-12-29,2026-03-28T17:51:09.845134
MZ0015,Tendai,Banda,tendai.banda15@micrlabs.onmicrosoft.com,Clinical,Nurse,Masvingo,-20.1079,30.8356,18,False,False,Active,False,0,2023-12-27,2026-03-28T17:51:09.845165
MZ0016,Sifiso,Chirwa,sifiso.chirwa16@micrlabs.onmicrosoft.com,Clinical,Nurse,Bulawayo,-20.1387,28.6282,8,True,True,Active,False,0,2025-03-17,2026-03-28T17:51:09.845195
MZ0017,Tsitsi,Mpofu,tsitsi.mpofu17@micrlabs.onmicrosoft.com,Clinical,Doctor,Harare,-17.8084,31.0081,7,False,False,Active,False,0,2024-08-31,2026-03-28T17:51:09.845224
MZ0018,Rudo,Chirwa,rudo.chirwa18@micrlabs.onmicrosoft.com,Clinical,Doctor,Harare,-17.8253,31.0745,20,True,True,Active,False,0,2022-10-06,2026-03-28T17:51:09.845256
MZ0019,Chiedza,Ncube,chiedza.ncube19@micrlabs.onmicrosoft.com,Clinical,Radiologist,Bulawayo,-20.1471,28.6175,6,True,False,Active,False,0,2024-04-06,2026-03-28T17:51:09.845288
MZ0020,Munyaradzi,Tembo,munyaradzi.tembo20@micrlabs.onmicrosoft.com,Clinical,Doctor,Harare,-17.793,31.0271,11,True,True,Active,False,0,2024-12-04,2026-03-28T17:51:09.845318
MZ0021,Nompilo,Mpofu,nompilo.mpofu21@micrlabs.onmicrosoft.com,Clinical,Nurse,Gweru,-19.4925,29.8475,8,True,False,Active,False,0,2022-03-09,2026-03-28T17:51:09.845349
MZ0022,Tinashe,Dube,tinashe.dube22@micrlabs.onmicrosoft.com,Clinical,Doctor,Harare,-17.8311,31.0887,6,True,True,Active,False,0,2022-05-10,2026-03-28T17:51:09.845378
MZ0023,Nompilo,Chikwanda,nompilo.chikwanda23@micrlabs.onmicrosoft.com,Clinical,Radiologist,Harare,-17.7835,31.1017,20,True,True,Active,False,0,2025-10-12,2026-03-28T17:51:09.845406
MZ0024,Kudzai,Mutasa,kudzai.mutasa24@micrlabs.onmicrosoft.com,Clinical,Doctor,Harare,-17.8208,31.0525,10,True,True,Active,False,0,2024-03-13,2026-03-28T17:51:09.845436
MZ0025,Tsitsi,Ncube,tsitsi.ncube25@micrlabs.onmicrosoft.com,Clinical,Nurse,Bulawayo,-20.159,28.5884,12,True,True,Active,False,0,2022-12-08,2026-03-28T17:51:09.845465
MZ0026,Zanele,Mutasa,zanele.mutasa26@micrlabs.onmicrosoft.com,Clinical,Doctor,Masvingo,-20.104,30.8544,12,True,True,Active,False,0,2024-09-24,2026-03-28T17:51:09.845496
MZ0027,Lungelo,Gumbo,lungelo.gumbo27@micrlabs.onmicrosoft.com,Clinical,Lab Technician,Mutare,-19.0134,32.6667,8,True,True,Active,False,0,2023-04-17,2026-03-28T17:51:09.845601
MZ0028,Takudzwa,Gumbo,takudzwa.gumbo28@micrlabs.onmicrosoft.com,Clinical,Lab Technician,Harare,-17.8548,31.0307,19,False,True,Active,False,0,2025-09-27,2026-03-28T17:51:09.845658
MZ0029,Sibusiso,Gumbo,sibusiso.gumbo29@micrlabs.onmicrosoft.com,Clinical,Doctor,Harare,-17.8677,31.0129,9,True,True,Active,False,0,2023-04-27,2026-03-28T17:51:09.845694
MZ0030,Tendai,Chirwa,tendai.chirwa30@micrlabs.onmicrosoft.com,Clinical,Lab Technician,Gweru,-19.4495,29.7918,6,True,True,Active,False,0,2022-03-09,2026-03-28T17:51:09.845728
MZ0031,Tatenda,Mutasa,tatenda.mutasa31@micrlabs.onmicrosoft.com,Clinical,Lab Technician,Mutare,-18.957,32.6471,19,True,True,Active,False,0,2024-04-01,2026-03-28T17:51:09.845760
MZ0032,Chiedza,Gumbo,chiedza.gumbo32@micrlabs.onmicrosoft.com,Clinical,Doctor,Bulawayo,-20.1676,28.58,16,True,True,Active,False,0,2022-06-16,2026-03-28T17:51:09.845791
MZ0033,Rudo,Mutasa,rudo.mutasa33@micrlabs.onmicrosoft.com,Clinical,Nurse,Gweru,-19.4204,29.8528,16,True,True,Active,False,0,2024-12-27,2026-03-28T17:51:09.845821
MZ0034,Zanele,Gumbo,zanele.gumbo34@micrlabs.onmicrosoft.com,Clinical,Doctor,Gweru,-19.4026,29.8416,12,False,False,Active,False,0,2023-10-21,2026-03-28T17:51:09.845850
MZ0035,Nkosi,Dube,nkosi.dube35@micrlabs.onmicrosoft.com,Clinical,Nurse,Mutare,-18.9875,32.714,12,True,True,Active,False,0,2022-08-06,2026-03-28T17:51:09.845879
MZ0036,Nkosi,Mhlanga,nkosi.mhlanga36@micrlabs.onmicrosoft.com,Clinical,Doctor,Harare,-17.8592,31.094,16,True,True,Active,False,0,2022-12-11,2026-03-28T17:51:09.845909
MZ0037,Tatenda,Chirwa,tatenda.chirwa37@micrlabs.onmicrosoft.com,Clinical,Nurse,Harare,-17.8464,31.0886,13,True,True,Active,False,0,2024-01-19,2026-03-28T17:51:09.845938
MZ0038,Chiedza,Gumbo,chiedza.gumbo38@micrlabs.onmicrosoft.com,Clinical,Lab Technician,Masvingo,-20.1065,30.8791,13,True,True,Active,False,0,2023-12-29,2026-03-28T17:51:09.845979
MZ0039,Sifiso,Sithole,sifiso.sithole39@micrlabs.onmicrosoft.com,Clinical,Lab Technician,Masvingo,-20.1128,30.8728,11,True,True,Active,False,0,2025-07-12,2026-03-28T17:51:09.846011
MZ0040,Takudzwa,Zimba,takudzwa.zimba40@micrlabs.onmicrosoft.com,Clinical,Doctor,Harare,-17.8128,31.0352,15,True,True,Active,False,0,2021-06-20,2026-03-28T17:51:09.846044
MZ0041,Sifiso,Mutasa,sifiso.mutasa41@micrlabs.onmicrosoft.com,Clinical,Lab Technician,Harare,-17.8496,31.0149,18,True,True,Active,False,0,2024-08-22,2026-03-28T17:51:09.846076
